id,avg_relation,avg_number_of_tokens_per_element,avg_number_of_key_elements,avg,std,median,mode,min,max,labeled_tokens
dev_ws_hmm_1_all_lfs-PARTIAL_CORRECT-EN,0.3286453817073754,14.20446096654275,1.6503067484662577,0.27016898819203844,0.4440469637451974,0.0,0,0,1,3821
dev_ws_hmm_1_all_lfs-INCORRECT-EN,0.25574977652909286,12.878787878787879,1.0,0.24795799299883314,0.4318273112099601,0.0,0,0,1,425
dev_ws_hmm_1_all_lfs-CORRECT-COMBINED,0.3897947414418558,13.847769028871392,1.5362903225806452,0.35787688655248434,0.4793756571040968,0.0,0,0,1,10552
dev_ws_hmm_1_all_lfs-PARTIAL_CORRECT-COMBINED,0.3565484220295881,10.964200477326969,1.2470238095238095,0.28104735103389206,0.4495105532807037,0.0,0,0,1,4594
dev_ws_hmm_1_all_lfs-INCORRECT-COMBINED,0.16842783531862873,9.28,0.5882352941176471,0.21421975992613113,0.4102799707313554,0.0,0,0,1,464
dev_ws_hmm_0_all_lfs-CORRECT-DE,0.5242013443844494,6.867521367521367,1.164179104477612,0.4058080808080808,0.4910477393888937,0.0,0,0,1,1607
dev_ws_hmm_0_all_lfs-PARTIAL_CORRECT-DE,0.5940573930588217,5.933333333333334,1.1271676300578035,0.525192918747163,0.4993649135101493,1.0,1,0,1,1157
dev_ws_hmm_0_all_lfs-INCORRECT-DE,0.6030709674940445,6.0476190476190474,0.8076923076923077,0.5619469026548672,0.49614774135479894,1.0,1,0,1,254
dev_ws_hmm_0_all_lfs-CORRECT-EN,0.5109312716792925,14.414758269720101,2.664406779661017,0.44387855044074437,0.4968403998261091,0.0,0,0,1,11330
dev_ws_hmm_0_all_lfs-PARTIAL_CORRECT-EN,0.48049839148034906,13.215246636771301,2.736196319018405,0.41674326521954325,0.4930195899897859,0.0,0,0,1,5894
dev_ws_hmm_0_all_lfs-INCORRECT-EN,0.3387867644735138,11.3125,1.4545454545454546,0.31680280046674447,0.465229820715711,0.0,0,0,1,543
dev_ws_hmm_0_all_lfs-CORRECT-COMBINED,0.5163088616263419,12.683333333333334,2.056451612903226,0.43876547396981513,0.496236166378327,0.0,0,0,1,12937
dev_ws_hmm_0_all_lfs-PARTIAL_CORRECT-COMBINED,0.5389677583645031,11.0,1.9077380952380953,0.4313593539703903,0.49526605144370417,0.0,0,0,1,7051
dev_ws_hmm_0_all_lfs-INCORRECT-COMBINED,0.5004665122037207,8.855555555555556,1.0588235294117647,0.36795937211449675,0.4822502178201707,0.0,0,0,1,797
dev_ws_lfs_average_all_lfs-CORRECT-DE,0.016483822742393184,2.05,0.09950248756218906,0.010353535353535354,0.1012242049078107,0.0,0,0,1,41
dev_ws_lfs_average_all_lfs-PARTIAL_CORRECT-DE,0.005541460692769771,1.8333333333333333,0.03468208092485549,0.004993191103041307,0.07048587905140871,0.0,0,0,1,11
dev_ws_lfs_average_all_lfs-INCORRECT-DE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
dev_ws_lfs_average_all_lfs-CORRECT-EN,0.014104485770462569,3.9838709677419355,0.21016949152542372,0.009676787463271302,0.0978935505927841,0.0,0,0,1,247
dev_ws_lfs_average_all_lfs-PARTIAL_CORRECT-EN,0.011776652135429942,2.769230769230769,0.15950920245398773,0.0050908576681043625,0.07116839773598577,0.0,0,0,1,72
dev_ws_lfs_average_all_lfs-INCORRECT-EN,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
dev_ws_lfs_average_all_lfs-CORRECT-COMBINED,0.015068692890136062,3.5121951219512195,0.16532258064516128,0.009767678480583348,0.09834770428272994,0.0,0,0,1,288
dev_ws_lfs_average_all_lfs-PARTIAL_CORRECT-COMBINED,0.008566270827155508,2.59375,0.09523809523809523,0.0050776948488926955,0.07107680257238802,0.0,0,0,1,83
dev_ws_lfs_average_all_lfs-INCORRECT-COMBINED,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
dev_ws_hmm_1_non_hard_matches-CORRECT-DE,0.36338868864312135,6.1692307692307695,0.9701492537313433,0.3037878787878788,0.4598921650663771,0.0,0,0,1,1203
